metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,1.3728807854805003
e_H,early,0.0,2.0,1.4896923558328272
e_pred,early,0.0,2.0,1.5198012067766316
e_U,early,0.0,2.0,2.97938471166571
e_euc,mid,2.0,10.0,0.9704084229216701
e_H,mid,2.0,10.0,0.984003670722808
e_pred,mid,2.0,10.0,0.9897716678219656
e_U,mid,2.0,10.0,1.9680074065176592
e_euc,full,0.0,10.0,1.0246608500334886
e_H,full,0.0,10.0,1.0495414426327194
e_pred,full,0.0,10.0,1.058554859141063
e_U,full,0.0,10.0,2.0990829281857426
e_euc,long,5.0,10.0,0.9363420241995801
e_H,long,5.0,10.0,0.9412905797824701
e_pred,long,5.0,10.0,0.9436035727878799
e_U,long,5.0,10.0,1.8825813104722737
