metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,2.8267025874108573
e_H,early,0.0,2.0,2.8228526667899314
e_pred,early,0.0,2.0,2.82284473376866
e_U,early,0.0,2.0,-32.723150286136686
e_euc,mid,2.0,10.0,-8.299916025259644e-13
e_H,mid,2.0,10.0,5.1137353819865184e-14
e_pred,mid,2.0,10.0,5.184894103982192e-14
e_U,mid,2.0,10.0,-1.8802279779570438e-31
e_euc,full,0.0,10.0,0.11806050961644114
e_H,full,0.0,10.0,0.11786865755758354
e_pred,full,0.0,10.0,0.11786830206525122
e_U,full,0.0,10.0,-1.446329945825076
e_euc,long,5.0,10.0,-3.3797456667872997e-12
e_H,long,5.0,10.0,2.0823252844698844e-13
e_pred,long,5.0,10.0,2.111301286345376e-13
e_U,long,5.0,10.0,-0.0
