width,step,time,D_euc,e_euc,D_H,e_H,U_gap,e_U,D_pred,e_pred,grad_norm,theta_norm,max_abs_theta,nan_or_inf
32,0,0.0,1.2854081463860032,1.0,14.771211996805398,1.0,109.09435192728387,1.0,1.304119140046408,1.0,186.26152441781915,0.0,0.0,0.0
32,904,0.019981138720224105,0.24135529970482572,0.18776549719512017,1.8201567259257534,0.12322324845919229,1.6564852534663856,0.015183968960835893,0.16045576670271727,0.12303765950172876,14.894115075823766,1.1311316596929462,0.45882698962019447,0.0
32,1808,0.03996227744044821,0.08898807814839879,0.0692294337783635,0.6006542063292888,0.040663840344258385,0.18039273779052678,0.0016535479115432703,0.05291575056201545,0.04057585609864786,4.187948307187923,1.2424525018916557,0.4926026097394723,0.0
32,2712,0.059943416160672315,0.0372900864834873,0.029010308195362274,0.24167509683328023,0.01636122322836798,0.029203426214685635,0.0002676896255284691,0.02128484042113211,0.01632123919320337,1.5904642406295835,1.2700132023790063,0.49752095498902954,0.0
32,3616,0.07992455488089642,0.016385253212326728,0.012747121027974486,0.10421116776776658,0.007055018084521741,0.005429983743752587,4.977328017285356e-05,0.0091768324680074,0.007036805293480192,0.6683300585234784,1.2793376501976494,0.49868827703903484,0.0
32,4520,0.09990569360112053,0.007367481031428831,0.005731627772970722,0.04635553861715522,0.0031382352800285195,0.0010744179802344433,9.848520672734641e-06,0.004081735257772986,0.003129879113366693,0.2932482724196605,1.2828897434238875,0.4990592146306089,0.0
32,5424,0.11988683232134463,0.0033593369069135955,0.0026134398761658378,0.02098420979049104,0.0014206153019149235,0.0002201685302622991,2.01814783600393e-06,0.001847615687335079,0.0014167537540084952,0.1315878141430362,1.2843302872859703,0.4992022039767279,0.0
32,6328,0.13986797104156873,0.0015465290655092136,0.0012031424181162742,0.009610362808023805,0.0006506143713936446,4.6179536653312425e-05,4.232990602858441e-07,0.0008461380449241302,0.0006488195893620731,0.05989074568485026,1.2849372694508487,0.49926381856948504,0.0
32,7232,0.15984910976179284,0.0007168896065324906,0.0005577136013553873,0.004438031365238967,0.0003004514027825739,9.848061196748858e-06,9.027104540950956e-08,0.0003907319172325285,0.0002996136665999887,0.027531936326362434,1.2851994645503648,0.4992916971050562,0.0
32,8136,0.17983024848201695,0.0003339671445175299,0.00025981408742156893,0.0020618161640581934,0.00013958341160522962,2.1255429345501398e-06,1.948352867953152e-08,0.00018152190118994778,0.0001391911947427504,0.012748416056558099,1.2853146729207374,0.499304491255565,0.0
32,9040,0.19981138720224106,0.0001561368429094474,0.00012146868941855928,0.0009620410061947355,6.512945629666666e-05,4.627614416108372e-07,4.2418460116000126e-09,8.46965762426962e-05,6.494542840593705e-05,0.005934134372140506,1.285365927516642,0.4993103577954446,0.0
32,9944,0.21979252592246515,7.318383552216814e-05,5.693431749902051e-05,0.0004502869151533344,3.0484087240147857e-05,1.0137915040786538e-07,9.292795512955519e-10,3.9642104335205566e-05,3.0397609480522516e-05,0.002772708176638383,1.285388948335355,0.4993130317644121,0.0
32,10848,0.23977366464268926,3.4364831748231946e-05,2.673456819520756e-05,0.00021122749777500717,1.4299943553764565e-05,2.2308519476155197e-08,2.044883083500491e-10,1.8595776847085592e-05,1.4259262268341408e-05,0.001299062293133449,1.2853993673903585,0.4993142422086118,0.0
32,11752,0.25975480336291334,1.615751762238393e-05,1.2569951161280322e-05,9.924277059398612e-05,6.7186613133336364e-06,4.924565644159884e-09,4.514042713634086e-11,8.736958094092688e-06,6.699509136704931e-06,0.0006098131030791831,1.285404112846584,0.4993147867690168,0.0
32,12656,0.27973594208313746,7.603866584774138e-06,5.91552699129287e-06,4.668058386647321e-05,3.160240600200506e-06,1.0895320201598224e-09,9.987061666455867e-12,4.109565132486578e-06,3.1512190920994656e-06,0.00028665672441933906,1.2854062857124275,0.49931503053060816,0.0
32,13560,0.29971708080336157,3.580792139113259e-06,2.785723856800547e-06,2.1974648296546573e-05,1.487667247704459e-06,2.4144242161128204e-10,2.213152352490383e-12,1.9345512764064318e-06,1.4834160599296083e-06,0.0001348818860037752,1.2854072851225675,0.4993151392296937,0.0
32,14464,0.3196982195235857,1.6870478289852066e-06,1.3124608193346494e-06,1.0350378468637073e-05,7.007128779192643e-07,5.356071142159635e-11,4.909576937337407e-13,9.111998242823547e-07,6.98709033785003e-07,6.351100156182659e-05,1.2854077465679643,0.49931518756950544,0.0
32,15368,0.3396793582438098,7.951002847779992e-07,6.185586165868546e-07,4.8771787602128235e-06,3.3018135284143384e-07,1.1887379969266476e-11,1.0896421088041232e-13,4.2936378551780394e-07,3.2923662595928524e-07,2.9919998890030463e-05,1.2854079603230606,0.499315209028886,0.0
32,16272,0.3596604969640339,3.7481925626678e-07,2.9159551954031505e-07,2.2988429006625764e-06,1.5562994432411857e-07,2.6361135496699717e-12,2.4163611617832022e-14,2.0237905028888192e-07,1.5518447975671924e-07,1.4100358670252543e-05,1.2854080596166864,0.4993152185462593,0.0
32,17176,0.379641635684258,1.7672513856643787e-07,1.3748562202854437e-07,1.083783594054715e-06,7.337133840399198e-08,5.897504706808832e-13,5.405875375417946e-15,9.541100837142029e-08,7.316126682108585e-08,6.646778625545838e-06,1.2854081058498696,0.4993152227662012,0.0
32,18080,0.39962277440448213,8.333558122797912e-08,6.48320002189824e-08,5.110262102353573e-07,3.459609207056794e-08,1.2079226507921703e-13,1.1072274865313864e-15,4.498822257494264e-08,3.4497018863891305e-08,3.133817941850455e-06,1.2854081274202682,0.4993152246379282,0.0
