rank,lambda,eta,cum_eta,cum_eta_over_Tneg
1,-1.0939751321229982,1.0939751321229982,1.0939751321229982,0.005808657466885806
2,-0.5580176817807386,0.5580176817807386,1.6519928139037368,0.008771552581000305
3,-0.48458977455867314,0.48458977455867314,2.13658258846241,0.011344569032392796
4,-0.46656815731748363,0.46656815731748363,2.6031507457798937,0.0138218964699498
5,-0.4056354332208158,0.4056354332208158,3.0087861790007095,0.0159756906640089
6,-0.393954149961159,0.393954149961159,3.4027403289618685,0.01806746098637602
7,-0.36823231175684196,0.36823231175684196,3.7709726407187105,0.020022656588568662
8,-0.3625323407599398,0.3625323407599398,4.133504981478651,0.021947587170908493
9,-0.35604603271005125,0.35604603271005125,4.489551014188702,0.023838077535568613
10,-0.3545937082063398,0.3545937082063398,4.8441447223950425,0.02572085652240568
11,-0.34902736903988246,0.34902736903988246,5.193172091434925,0.027574080031597
12,-0.34368361656849095,0.34368361656849095,5.536855708003416,0.029398929927181676
13,-0.34249572724200233,0.34249572724200233,5.879351435245418,0.031217472511015348
14,-0.3368400777610473,0.3368400777610473,6.216191513006465,0.03300598540804628
15,-0.33584962368112575,0.33584962368112575,6.552041136687591,0.034789239311231734
16,-0.3311659724324589,0.3311659724324589,6.8832071091200495,0.03654762452682183
17,-0.3275570559054828,0.3275570559054828,7.210764165025532,0.038286847551868244
18,-0.32673560526765494,0.32673560526765494,7.537499770293187,0.04002170893720185
19,-0.3240180563497547,0.3240180563497547,7.861517826642942,0.04174214100842211
20,-0.3205508568492452,0.3205508568492452,8.182068683492187,0.04344416336110632
