rank,lambda,eta,cum_eta,cum_eta_over_Tneg
1,-3.522368518040876,3.522368518040876,3.522368518040876,0.005774495612242849
2,-3.4180977652760567,3.4180977652760567,6.940466283316933,0.011378051982540452
3,-2.92189784955572,2.92189784955572,9.862364132872653,0.01616814882370394
4,-2.5538881392237363,2.5538881392237363,12.41625227209639,0.020354938416721584
5,-2.32533602532464,2.32533602532464,14.74158829742103,0.02416704456247369
6,-2.2751103355478675,2.2751103355478675,17.016698632968897,0.027896811786630175
7,-2.248501065614034,2.248501065614034,19.26519969858293,0.031582956342774804
8,-2.2217710575615275,2.2217710575615275,21.48697075614446,0.035225280295418174
9,-2.1686203816995206,2.1686203816995206,23.655591137843977,0.03878047016683723
10,-2.1340843797672284,2.1340843797672284,25.789675517611204,0.04227904245534269
11,-2.1280875473068446,2.1280875473068446,27.91776306491805,0.04576778366497254
12,-2.1225308289809983,2.1225308289809983,30.040293893899047,0.04924741530942579
13,-2.113686078129346,2.113686078129346,32.153979972028395,0.05271254705850392
14,-2.064487503054911,2.064487503054911,34.21846747508331,0.05609702371586157
15,-2.0572937023652296,2.0572937023652296,36.27576117744854,0.05946970701022918
16,-2.051171416175728,2.051171416175728,38.326932593624264,0.06283235355956086
17,-2.0400629961079155,2.0400629961079155,40.36699558973218,0.06617678920261967
18,-2.0182972643640307,2.0182972643640307,42.38529285409621,0.06948554257058188
19,-2.002345456638065,2.002345456638065,44.387638310734275,0.07276814488613459
20,-1.9882349146993779,1.9882349146993779,46.37587322543365,0.07602761468102853
