rank,lambda,eta,cum_eta,cum_eta_over_Tneg
1,-9.377846559739867,9.377846559739867,9.377846559739867,0.0010778029309338726
2,-7.748950268072064,7.748950268072064,17.12679682781193,0.0019683955907076277
3,-6.2403189506165235,6.2403189506165235,23.367115778428452,0.0026856001229092342
4,-6.172840942047325,6.172840942047325,29.53995672047578,0.0033950493570318882
5,-6.029223486258094,6.029223486258094,35.569180206733876,0.004087992529363402
6,-5.9930542384425305,5.9930542384425305,41.56223444517641,0.004776778742945703
7,-5.863710816725923,5.863710816725923,47.42594526190233,0.005450699420166846
8,-5.805705485768412,5.805705485768412,53.23165074767074,0.006117953501243816
9,-5.746999359880963,5.746999359880963,58.9786501075517,0.0067784604432902865
10,-5.673793432222913,5.673793432222913,64.65244353977461,0.007430553773225601
11,-5.643274415073865,5.643274415073865,70.29571795484847,0.008079139529655322
12,-5.6023751095981975,5.6023751095981975,75.89809306444667,0.008723024698265226
13,-5.541437746728866,5.541437746728866,81.43953081117553,0.009359906290106674
14,-5.526021559307403,5.526021559307403,86.96555237048294,0.009995016087978063
15,-5.5006176370368065,5.5006176370368065,92.46617000751975,0.010627206194030436
16,-5.4795825042046316,5.4795825042046316,97.94575251172438,0.01125697871650702
17,-5.3997234188064756,5.3997234188064756,103.34547593053085,0.011877572974468873
18,-5.38343229361898,5.38343229361898,108.72890822414983,0.012496294881207721
19,-5.378497847871793,5.378497847871793,114.10740607202163,0.01311444966839999
20,-5.352188550027512,5.352188550027512,119.45959462204914,0.013729580708280257
