row_kind,group,chain_run,criterion,tau_geom,tau_pred,delta_tau,frac_finite_pred,frac_finite_geom,tau_geom_mean,tau_geom_std,tau_pred_mean,tau_pred_std,delta_tau_mean,delta_tau_std,n_chains,n_finite_pred,rhat_aligned,window_kind,window_len_saves,n_chains_used,step_first_mean,step_last_mean,window_rhat,drift_z_mean,drift_z_max,ess_bulk,ess_tail,t_analysis_phys,grad_evals_span,ess_per_t_analysis,ess_per_1e6_grad,window_suffix_frac,suffix_start_idx,suffix_n_draws,stab_ok
summary,w1_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2000,,geom_d0p05_nll_ge_1p45,,,,1.0,1.0,10286.25,6.849574196011505,52032.0,15895.26896071071,41745.75,15900.742527211321,4,4,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain0,geom_d0p05_nll_ge_1p45,10280,74720,64440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain1,geom_d0p05_nll_ge_1p45,10296,38027,27731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain2,geom_d0p05_nll_ge_1p45,10284,45523,35239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain3,geom_d0p05_nll_ge_1p45,10285,49858,39573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,w1_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2000,,geom_d0p05_nll_ge_1p55,,,,0.0,1.0,10286.25,6.849574196011505,nan,nan,nan,nan,4,0,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain0,geom_d0p05_nll_ge_1p55,10280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain1,geom_d0p05_nll_ge_1p55,10296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain2,geom_d0p05_nll_ge_1p55,10284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain3,geom_d0p05_nll_ge_1p55,10285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
