row_kind,group,chain_run,criterion,tau_escape,tau_mean,tau_std,n_chains,rhat_aligned
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain0,d_sqrt_ge_0p05,10280,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain0,d_sqrt_ge_0p1,21173,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain0,d_sqrt_ge_0p15,32703,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain0,ou_ge_0p03,11292,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain0,ou_ge_0p06,23324,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain0,ou_ge_0p09,36123,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain0,nll_ge_init_plus_0p25,3619,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain0,nll_ge_init_plus_0p5,6420,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain0,f_margin_le_init_minus_0p5,2173,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain0,f_margin_le_init_minus_1,4133,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain0,nll_abs_ge_1p45,74720,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain0,nll_abs_ge_1p55,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain0,nll_abs_ge_1p7,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain0,f_margin_abs_le_m0p2,71692,,,,
