group_label,late_frac,probe,rhat_late,drift_z_mean,drift_z_max,ess_bulk,ess_tail,T_analysis_phys,grad_evals_span,ess_per_phys,ess_per_1e6_grad,step_first_late,step_last
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_nll,1.514417762822909,2.402995699126083,4.529804045387901,nan,nan,0.2499,99960.0,nan,nan,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_margin,1.200122268188774,0.5867537809035831,1.0246185191988078,nan,nan,0.2499,99960.0,nan,nan,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_dist,0.999805015244321,3.2005064871274826,3.202324111125384,nan,nan,0.2499,99960.0,nan,nan,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,dist_to_ref_sq_over_d,0.999805015244321,3.200506487127483,3.2023241111253826,nan,nan,0.2499,99960.0,nan,nan,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,dist_to_ref_over_sqrt_d,0.9998046631117377,3.6535895529974636,3.6559609900216135,nan,nan,0.2499,99960.0,nan,nan,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,dist_to_ref_over_ou_radius,0.9998046631117377,3.653589552997465,3.6559609900216157,nan,nan,0.2499,99960.0,nan,nan,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_proj1,4.006373439096968,3.51038028936654,4.06842261321237,nan,nan,0.2499,99960.0,nan,nan,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_proj2,2.9542625440292363,6.887398974355599,9.67164785346753,nan,nan,0.2499,99960.0,nan,nan,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_pc1,1.3379512543075929,1.5179485836712134,2.0206687845820497,nan,nan,0.2499,99960.0,nan,nan,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_pc2,1.9192767384866698,2.68713272768608,7.550571080010827,nan,nan,0.2499,99960.0,nan,nan,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,f_nll,1.7613918423603245,3.0097799380160195,7.247046485736871,nan,nan,0.12490000000000001,49960.0,nan,nan,75020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,f_margin,1.211327940954738,1.4732688391591338,2.657869941759077,nan,nan,0.12490000000000001,49960.0,nan,nan,75020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,f_dist,0.9996314919401645,3.358543284110798,3.3605203470737437,nan,nan,0.12490000000000001,49960.0,nan,nan,75020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,dist_to_ref_sq_over_d,0.9996314919401645,3.3585432841107976,3.3605203470737472,nan,nan,0.12490000000000001,49960.0,nan,nan,75020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,dist_to_ref_over_sqrt_d,0.9996308464279421,3.5546124133332446,3.556786157100133,nan,nan,0.12490000000000001,49960.0,nan,nan,75020,100000
