row_kind,group,chain_run,criterion,tau_escape,tau_mean,tau_std,n_chains,rhat_aligned
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,d_sqrt_ge_0p05,10264,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,d_sqrt_ge_0p1,21092,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,d_sqrt_ge_0p15,32547,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,ou_ge_0p03,11272,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,ou_ge_0p06,23228,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,ou_ge_0p09,35947,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,nll_ge_init_plus_0p25,2504,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,nll_ge_init_plus_0p5,4333,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,f_margin_le_init_minus_0p5,1459,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,f_margin_le_init_minus_1,2708,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,nll_abs_ge_1p45,14743,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,nll_abs_ge_1p55,20106,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,nll_abs_ge_1p7,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,f_margin_abs_le_m0p2,24828,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,f_margin_abs_le_m0p3,71900,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,f_margin_abs_le_m0p38,,,,,
