row_kind,group,chain_run,criterion,tau_escape,tau_mean,tau_std,n_chains,rhat_aligned
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,d_sqrt,100000,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,ou,100000,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,f_margin,73333,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,nll_rise,63882,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,d_sqrt,100000,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,ou,100000,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,f_margin,94671,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,nll_rise,33019,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,d_sqrt,100000,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,ou,100000,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,f_margin,91091,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,nll_rise,31243,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain3,d_sqrt,100000,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain3,ou,100000,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain3,f_margin,62518,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain3,nll_rise,41871,,,,
summary,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,,d_sqrt,,100000.0,0.0,4,
summary,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,,ou,,100000.0,0.0,4,
summary,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,,f_margin,,80403.25,15140.093491014732,4,
summary,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,,nll_rise,,42503.75,14991.051983878027,4,
rhat,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,,rhat_aligned_f_margin_f_nll,,,,4,3.2971342402595423
rhat,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,,rhat_aligned_nll_rise_f_nll,,,,4,2.2415366719564713
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375_chain0,d_sqrt,100000,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375_chain0,ou,100000,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375_chain0,f_margin,77533,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375_chain0,nll_rise,26140,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375_chain1,d_sqrt,100000,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375_chain1,ou,100000,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375_chain1,f_margin,95980,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375_chain1,nll_rise,42551,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375_chain2,d_sqrt,100000,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375_chain2,ou,100000,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375_chain2,f_margin,77923,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375_chain2,nll_rise,36123,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375_chain3,d_sqrt,100000,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375_chain3,ou,100000,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375_chain3,f_margin,92403,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375_chain3,nll_rise,28667,,,,
summary,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375,,d_sqrt,,100000.0,0.0,4,
summary,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375,,ou,,100000.0,0.0,4,
summary,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375,,f_margin,,85959.75,9618.044616760728,4,
summary,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375,,nll_rise,,33370.25,7444.480701611541,4,
rhat,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375,,rhat_aligned_f_margin_f_nll,,,,4,5.720946971969503
rhat,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2375,,rhat_aligned_nll_rise_f_nll,,,,4,1.661722969996391
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,d_sqrt,100000,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,ou,100000,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,f_margin,73390,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,nll_rise,33661,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain1,d_sqrt,100000,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain1,ou,100000,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain1,f_margin,94633,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain1,nll_rise,33153,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain2,d_sqrt,100000,,,,
