row_kind,group,chain_run,criterion,tau_escape,tau_mean,tau_std,n_chains,rhat_aligned
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,d_sqrt_ge_0p05,10264,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,d_sqrt_ge_0p1,21093,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,d_sqrt_ge_0p15,32548,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,ou_ge_0p03,11272,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,ou_ge_0p06,23229,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,ou_ge_0p09,35949,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,nll_ge_init_plus_0p25,2376,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,nll_ge_init_plus_0p5,4163,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,f_margin_le_init_minus_0p5,1273,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,f_margin_le_init_minus_1,2361,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,nll_abs_ge_1p45,14985,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,nll_abs_ge_1p55,20456,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,nll_abs_ge_1p7,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,f_margin_abs_le_m0p2,25418,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,f_margin_abs_le_m0p3,72383,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,f_margin_abs_le_m0p38,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,d_sqrt_ge_0p05,10276,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,d_sqrt_ge_0p1,21128,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,d_sqrt_ge_0p15,32577,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,ou_ge_0p03,11287,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,ou_ge_0p06,23264,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,ou_ge_0p09,35975,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,nll_ge_init_plus_0p25,2449,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,nll_ge_init_plus_0p5,4173,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,f_margin_le_init_minus_0p5,1415,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,f_margin_le_init_minus_1,2435,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,nll_abs_ge_1p45,14451,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,nll_abs_ge_1p55,19538,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,nll_abs_ge_1p7,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,f_margin_abs_le_m0p2,25291,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,f_margin_abs_le_m0p3,94186,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,f_margin_abs_le_m0p38,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,d_sqrt_ge_0p05,10273,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,d_sqrt_ge_0p1,21132,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,d_sqrt_ge_0p15,32592,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,ou_ge_0p03,11283,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,ou_ge_0p06,23272,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,ou_ge_0p09,35991,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,nll_ge_init_plus_0p25,2498,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,nll_ge_init_plus_0p5,4203,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,f_margin_le_init_minus_0p5,1253,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,f_margin_le_init_minus_1,2379,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,nll_abs_ge_1p45,15481,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,nll_abs_ge_1p55,23274,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,nll_abs_ge_1p7,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,f_margin_abs_le_m0p2,26274,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,f_margin_abs_le_m0p3,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,f_margin_abs_le_m0p38,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain3,d_sqrt_ge_0p05,10283,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain3,d_sqrt_ge_0p1,21135,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain3,d_sqrt_ge_0p15,32589,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain3,ou_ge_0p03,11293,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain3,ou_ge_0p06,23272,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain3,ou_ge_0p09,35993,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain3,nll_ge_init_plus_0p25,2388,,,,
