group_label,late_frac,probe,rhat_late,drift_z_mean,drift_z_max,ess_bulk,ess_tail,T_analysis_phys,grad_evals_span,ess_per_phys,ess_per_1e6_grad,step_first_late,step_last
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_nll,1.0154515135371533,2.1927420048312296,3.2663354078723597,nan,nan,0.2499,99960.0,nan,nan,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_margin,1.0787765876233357,0.9504124913980699,1.6066177772189836,nan,nan,0.2499,99960.0,nan,nan,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_dist,0.9998065420071817,3.2028158872521186,3.2033824967955966,nan,nan,0.2499,99960.0,nan,nan,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,dist_to_ref_sq_over_d,0.9998065420071816,3.2028158872521195,3.203382496795597,nan,nan,0.2499,99960.0,nan,nan,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,dist_to_ref_over_sqrt_d,0.999806103245455,3.656110673721173,3.656938652968804,nan,nan,0.2499,99960.0,nan,nan,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,dist_to_ref_over_ou_radius,0.999806103245455,3.656110673721172,3.6569386529688033,nan,nan,0.2499,99960.0,nan,nan,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_proj1,3.617287691460576,1.7216613639193543,2.149986251278111,nan,nan,0.2499,99960.0,nan,nan,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_proj2,8.748754476545944,4.256076364713652,7.3776622686217594,nan,nan,0.2499,99960.0,nan,nan,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_pc1,1.9265875429435237,1.2699342165075613,1.6824058558844086,nan,nan,0.2499,99960.0,nan,nan,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_pc2,2.4599735930234927,1.3538006005375323,2.6072629183144342,nan,nan,0.2499,99960.0,nan,nan,50020,100000
