row_kind,group,chain_run,criterion,tau_escape,tau_mean,tau_std,n_chains,rhat_aligned
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,d_sqrt,100000,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,ou,100000,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,f_margin,75105,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,nll_rise,26819,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,d_sqrt,100000,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,ou,100000,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,f_margin,92989,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,nll_rise,23733,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,d_sqrt,100000,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,ou,100000,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,f_margin,53981,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,nll_rise,24695,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain3,d_sqrt,100000,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain3,ou,100000,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain3,f_margin,85223,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain3,nll_rise,25471,,,,
