row_kind,group,chain_run,criterion,tau_escape,tau_mean,tau_std,n_chains,rhat_aligned
chain,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600_chain0,d_sqrt,200000,,,,
chain,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600_chain0,ou,200000,,,,
chain,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600_chain0,f_margin,33258,,,,
chain,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600_chain0,nll_rise,24033,,,,
chain,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600_chain1,d_sqrt,200000,,,,
chain,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600_chain1,ou,200000,,,,
chain,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600_chain1,f_margin,27215,,,,
chain,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600_chain1,nll_rise,19495,,,,
chain,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600_chain2,d_sqrt,200000,,,,
chain,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600_chain2,ou,200000,,,,
chain,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600_chain2,f_margin,44279,,,,
chain,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600_chain2,nll_rise,18441,,,,
chain,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600_chain3,d_sqrt,200000,,,,
chain,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600_chain3,ou,200000,,,,
chain,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600_chain3,f_margin,16947,,,,
chain,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600_chain3,nll_rise,20651,,,,
summary,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600,,d_sqrt,,200000.0,0.0,4,
summary,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600,,ou,,200000.0,0.0,4,
summary,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600,,f_margin,,30424.75,11429.782569381332,4,
summary,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600,,nll_rise,,20655.0,2426.12832856522,4,
rhat,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600,,rhat_aligned_f_margin_f_nll,,,,4,1.104961631530365
rhat,w4_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step1600,,rhat_aligned_nll_rise_f_nll,,,,4,1.0275488911008717
