row_kind,group,chain_run,criterion,tau_geom,tau_pred,delta_tau,frac_finite_pred,frac_finite_geom,tau_geom_mean,tau_geom_std,tau_pred_mean,tau_pred_std,delta_tau_mean,delta_tau_std,n_chains,n_finite_pred,rhat_aligned
summary,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,,geom_d0p05_nll_ge_1p45,,,,0.75,1.0,10283.0,7.164728420068226,76873.0,10036.884028422366,66589.33333333333,10044.50139794571,4,3,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,geom_d0p05_nll_ge_1p45,10276,88222,77946,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,geom_d0p05_nll_ge_1p45,10293,69164,58871,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,geom_d0p05_nll_ge_1p45,10281,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain3,geom_d0p05_nll_ge_1p45,10282,73233,62951,,,,,,,,,,,
summary,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,,geom_d0p05_nll_ge_1p55,,,,0.0,1.0,10283.0,7.164728420068226,nan,nan,nan,nan,4,0,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,geom_d0p05_nll_ge_1p55,10276,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,geom_d0p05_nll_ge_1p55,10293,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,geom_d0p05_nll_ge_1p55,10281,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain3,geom_d0p05_nll_ge_1p55,10282,,,,,,,,,,,,,
